site_id,timestamp_utc,tech,ba_code,horizon_h,ghi_wm2,temp_c,cloud_pct,wind_ms_80,y_physics_mw,q10_mw,q50_mw,q90_mw,capacity_mw,capacity_factor,demand_forecast_mw,demand_mw,res10_mw,res50_mw,res90_mw
CA_SOLAR_STAR,2026-09-12 15:00:00+00:00,solar,CISO,0,303.231113721214,24.1,0.8,4.442790228613381,222.7603017729164,191.01250307207104,202.98468004743737,218.17910637125797,579.0,0.35057803117001274,31575.42362767876,31773.399737256244,-31.74779870084535,-19.775621725479027,-4.5811954016584195
CA_SOLAR_STAR,2026-09-12 16:00:00+00:00,solar,CISO,1,507.46693142154777,28.1,0.0,5.250570270179451,368.66470216043234,345.01175748944826,345.1900001868861,368.28064904537706,579.0,0.5961830745887498,35640.57719377888,34869.32011934459,-23.652944670984084,-23.474701973546246,-0.3840531150552806
CA_SOLAR_STAR,2026-09-12 17:00:00+00:00,solar,CISO,2,679.9705362636813,30.6,0.0,6.731500346383912,481.1865437489533,464.8063202484778,469.1245633837836,491.37152982818554,579.0,0.8102324065350321,37230.55716831908,35658.33036789552,-16.380223500475495,-12.061980365169688,10.18498607923226
CA_SOLAR_STAR,2026-09-12 18:00:00+00:00,solar,CISO,3,808.9674924813233,32.1,0.0,7.808540401805337,559.3861403279395,510.8306866466757,522.2771589351465,566.8144339799716,579.0,0.9020330896980078,36294.40665697791,34153.29740629967,-48.55545368126383,-37.108981392793,7.428293652032039
CA_SOLAR_STAR,2026-09-12 19:00:00+00:00,solar,CISO,4,885.6475286618104,32.9,2.3,8.750950450299085,579.0,525.736117041917,539.8852352192856,579.0,579.0,0.9324442749901306,31453.71770370674,33287.00527682851,-53.263882958082945,-39.11476478071438,0.0
CA_SOLAR_STAR,2026-09-12 20:00:00+00:00,solar,CISO,5,904.7741995476274,33.4,0.0,9.693360498792831,579.0,522.8651276455864,535.3330329402036,579.0,579.0,0.9245820948880891,32469.419322696893,31495.89343278802,-56.134872354413574,-43.666967059796434,0.0
CA_SOLAR_STAR,2026-09-12 21:00:00+00:00,solar,CISO,6,865.0245558299241,33.8,0.0,10.366510533431224,579.0,522.8651276455864,535.3330329402036,577.7214321155515,579.0,0.9245820948880891,30821.73792589044,30328.07577210102,-56.134872354413574,-43.666967059796434,-1.2785678844485346
CA_SOLAR_STAR,2026-09-12 22:00:00+00:00,solar,CISO,7,769.0970062458799,33.6,0.0,10.905030561141936,531.4470957096665,476.61948857375376,488.56468283681676,534.4671255711504,579.0,0.8438077423779219,27790.001944116044,27881.59653825329,-54.827607135912785,-42.882412872849784,3.020029861483863
CA_SOLAR_STAR,2026-09-12 23:00:00+00:00,solar,CISO,8,623.518670306612,32.9,0.0,11.308920581924973,440.0336956920375,407.2298876912464,417.88163679459615,445.10599646837255,579.0,0.7217299426504251,25138.99367204032,26057.069508424,-32.80380800079109,-22.15205889744135,5.072300776335055
CA_SOLAR_STAR,2026-09-13 00:00:00+00:00,solar,CISO,9,438.4415174318804,31.6,0.0,10.63577054728658,315.4128249956407,260.3964669438717,276.01676858094066,301.49424235644017,579.0,0.47671289910352443,23042.208687053306,22071.04726139733,-55.016358051768975,-39.39605641470001,-13.918582639200508
